"282-0001","14100017","Labour force characteristics by sex and detailed age group, monthly, unadjusted for seasonality","Caractéristiques de la population active selon le sexe et le groupe d'âge détaillé, données mensuelles non désaisonnalisées","1976-01-01","2020-03-01","2","6","4"
"282-0002","14100018","Labour force characteristics by sex and detailed age group, annual, inactive","Caractéristiques de la population active selon le sexe et le groupe d'âge détaillé, données annuelles, inactif","1976-01-01","2018-01-01","1","12","4"
"282-0003","14100019","Labour force characteristics by educational attainment, monthly, unadjusted for seasonality","Caractéristiques de la population active selon le niveau de scolarité atteint, données mensuelles non désaisonnalisées","1990-01-01","2020-03-01","2","6","5"
"282-0004","14100020","Unemployment rate, participation rate and employment rate by educational attainment, annual","Taux de chômage, taux d'activité et taux d'emploi selon le niveau de scolarité atteint, données annuelles","1990-01-01","2019-01-01","2","12","5"
"282-0005","14100021","Unemployment rate, participation rate, and employment rate by type of student during school months, monthly, unadjusted for seasonality","Taux de chômage, taux d'activité et taux d'emploi selon le genre d'étudiant durant les mois d'étude, données mensuelles non désaisonnalisées","1976-01-01","2020-03-01","2","6","5"
"282-0007","14100022","Labour force characteristics by industry, monthly, unadjusted for seasonality","Caractéristiques de la population active selon l'industrie, données mensuelles non désaisonnalisées","1976-01-01","2020-03-01","2","6","5"
"282-0008","14100023","Labour force characteristics by industry, annual","Caractéristiques de la population active selon l'industrie, données annuelles","1976-01-01","2019-01-01","2","12","5"
"282-0012","14100027","Employment by class of worker, annual","Emploi selon la catégorie de travailleur, données annuelles","1976-01-01","2019-01-01","2","12","4"
"282-0013","14100028","Part-time employment by reason, monthly, unadjusted for seasonality","Emploi à temps partiel selon la raison, données mensuelles non désaisonnalisées","1997-01-01","2020-03-01","2","6","4"
"282-0014","14100029","Part-time employment by reason, annual","Emploi à temps partiel selon la raison, données annuelles","1997-01-01","2019-01-01","2","12","4"
"282-0015","14100030","Usual hours worked by job type (main or all jobs), monthly, unadjusted for seasonality","Heures habituellement travaillées selon le genre d'emploi (principal ou tous), données mensuelles non désaisonnalisées","1976-01-01","2020-03-01","2","6","5"
"282-0016","14100031","Usual hours worked by job type (main or all jobs), annual","Heures habituellement travaillées selon le genre d'emploi (principal ou tous), données annuelles","1976-01-01","2019-01-01","2","12","5"
"282-0017","14100032","Actual hours worked by job type (main or all jobs), monthly, unadjusted for seasonality","Heures effectivement travaillées selon le genre d'emploi (principal ou tous), données mensuelles non désaisonnalisées","1976-01-01","2020-03-01","2","6","5"
"282-0018","14100033","Actual hours worked by job type (main or all jobs), annual","Heures effectivement travaillées selon le genre d'emploi (principal ou tous), données annuelles","1976-01-01","2019-01-01","2","12","5"
"282-0019","14100034","Usual hours worked by industry, monthly, unadjusted for seasonality","Heures habituellement travaillées selon l'industrie, données mensuelles non désaisonnalisées","1987-01-01","2020-03-01","2","6","5"
"282-0020","14100035","Usual hours worked by industry, annual","Heures habituellement travaillées selon l'industrie, données annuelles","1987-01-01","2019-01-01","2","12","5"
"282-0027","14100042","Average usual and actual hours worked in a reference week by type of work (full- and part-time), monthly, unadjusted for seasonality","Moyenne des heures habituellement et effectivement travaillées durant la semaine de référence selon le genre de travail (temps plein et temps partiel), données mensuelles non désaisonnalisées","1976-01-01","2020-03-01","2","6","6"
"282-0031","14100044","Multiple jobholders by industry, annual","Personnes ayant plus d'un emploi selon l'industrie, données annuelles","1987-01-01","2019-01-01","2","12","4"
"282-0037","14100050","Job tenure by type of work (full- and part-time), monthly, unadjusted for seasonality","Durée de l'emploi selon le genre de travail (temps plein et temps partiel), données mensuelles non désaisonnalisées","1976-01-01","2020-03-01","2","6","5"
"282-0047","14100056","Duration of unemployment, monthly, unadjusted for seasonality, inactive","Durée du chômage, données mensuelles non désaisonnalisées, inactif","1976-01-01","2019-08-01","1","6","4"
"282-0049","14100058","Unemployment by type of work sought and search method, monthly, unadjusted for seasonality","Chômeurs selon le genre de travail recherché et la méthode de recherche, données mensuelles non désaisonnalisées","1976-01-01","2020-03-01","2","6","4"
"282-0051","14100060","Retirement age by class of worker, annual","Âge de la retraite selon la catégorie de travailleur, données annuelles","1976-01-01","2019-01-01","2","12","4"
"282-0073","14100065","Employee wages by job permanency and union coverage, monthly, unadjusted for seasonality","Salaires des employés selon la permanence de l'emploi et la couverture syndicale, données mensuelles non désaisonnalisées","1997-01-01","2020-03-01","2","6","6"
"282-0075","14100067","Employment by establishment size, monthly, unadjusted for seasonality","Emploi selon la taille d'établissement, données mensuelles non désaisonnalisées","1997-01-01","2020-03-01","2","6","5"
"282-0083","14100075","Employees working overtime (weekly) by industry, monthly, unadjusted for seasonality","Employés travaillant à temps supplémentaire (hebdomadaire) selon l'industrie, données mensuelles non désaisonnalisées","1997-01-01","2020-03-01","2","6","5"
"282-0086","14100078","Supplementary unemployment rates, annual","Taux supplémentaires du chômage, données annuelles","1976-01-01","2019-01-01","2","12","4"
"282-0095","14100081","Unemployment rate, participation rate, and employment rate by type of student during school months, annual","Taux de chômage, taux d'activité et taux d'emploi selon le genre d'étudiant durant les mois d'étude, données annuelles","1976-01-01","2019-01-01","2","12","5"
"282-0101","14100082","Labour force characteristics by immigrant status, three-month moving average, unadjusted for seasonality","Caractéristiques de la population active selon le statut d'immigrant, moyennes mobiles de trois mois, données non désaisonnalisées","2006-03-01","2020-03-01","2","6","4"
"282-0103","14100084","Labour force characteristics of immigrants by sex and age group, three-month moving average, unadjusted for seasonality","Caractéristiques de la population active chez les immigrants selon le sexe et le groupe d'âge, moyennes mobiles de trois mois, données non désaisonnalisées","2006-03-01","2020-03-01","2","6","5"
"282-0107","14100088","Labour force characteristics of immigrants by country of birth, three-month moving average, unadjusted for seasonality","Caractéristiques de la population active chez les immigrants selon le pays de naissance, moyennes mobiles de trois mois, données non désaisonnalisées","2006-03-01","2020-03-01","2","6","6"
"282-0128","14100095","Labour force characteristics by census metropolitan area, three-month moving average, unadjusted for seasonality","Caractéristiques de la population active selon la région métropolitaine de recensement, moyennes mobiles de trois mois, données non désaisonnalisées","2001-03-01","2020-03-01","2","6","4"
"282-0134","14100102","Labour force characteristics by census agglomeration, annual","Caractéristiques de la population active selon les agglomérations de recensement, données annuelles","2001-01-01","2019-01-01","2","12","2"
